Content Rating,ART_AND_DESIGN,AUTO_AND_VEHICLES,BEAUTY,BOOKS_AND_REFERENCE,BUSINESS,COMICS,COMMUNICATION,DATING,EDUCATION,ENTERTAINMENT,EVENTS,FAMILY,FINANCE,FOOD_AND_DRINK,GAME,HEALTH_AND_FITNESS,HOUSE_AND_HOME,LIBRARIES_AND_DEMO,LIFESTYLE,MAPS_AND_NAVIGATION,MEDICAL,NEWS_AND_MAGAZINES,PARENTING,PERSONALIZATION,PHOTOGRAPHY,PRODUCTIVITY,SHOPPING,SOCIAL,SPORTS,TOOLS,TRAVEL_AND_LOCAL,VIDEO_PLAYERS,WEATHER
Everyone,5.0,4.9,4.9,5.0,5.0,5.0,5.0,4.4,4.9,4.7,5.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,5.0,4.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4.8
Everyone 10+,4.7,4.3,,4.6,,4.5,,,4.6,4.2,4.8,5.0,,4.6,4.8,4.6,,,4.7,,5.0,4.8,,4.6,,3.6,,4.2,4.5,,,4.3,4.4
Teen,4.7,4.2,4.1,4.8,5.0,4.8,5.0,5.0,4.8,4.5,5.0,5.0,4.5,4.6,5.0,4.9,4.7,,5.0,4.7,4.7,4.7,4.7,5.0,5.0,3.7,5.0,5.0,4.6,5.0,4.7,4.6,4.5
